质心坐标：(99.732169044127446, 1274.4584722037062)面积:7501
质心坐标：(2475.5791420118344, 2887.2184418145957)面积:4056
质心坐标：(2476.5044295302014, 14345.262818791947)面积:3725
质心坐标：(2501.0516409266411, 11822.985762548262)面积:4144
质心坐标：(2553.1496893240446, 5907.4560346450762)面积:5311
质心坐标：(2591.8767716201305, 11310.801408809302)面积:11783
质心坐标：(2528.5011648223644, 7579.5652300524171)面积:3434
质心坐标：(2654.1310466138962, 696.38748586505847)面积:7959
质心坐标：(2665.3634506242906, 819.07377979568673)面积:4405
质心坐标：(2675.1715019255457, 14215.184852374839)面积:3895
质心坐标：(2670.740013097577, 3046.3984937786508)面积:3054
质心坐标：(2728.9835011784871, 1063.0552817655882)面积:4667
质心坐标：(2714.4614155251143, 8414.1392694063925)面积:4380
质心坐标：(2761.0989578260446, 1848.9970780169474)面积:10267
质心坐标：(2744.9050888529887, 6391.0436187399027)面积:4952
质心坐标：(2859.2434570906876, 2972.9717995536621)面积:4929
质心坐标：(2862.4963194700035, 12546.771439087228)面积:5434
质心坐标：(2866.1030729833547, 10798.739116517285)面积:3124
质心坐标：(2906.4582210242588, 3503.7422200441069)面积:4081
质心坐标：(2907.7415992532669, 14193.760734287493)面积:6428
质心坐标：(2935.4375942684765, 12916.412518853695)面积:5304
质心坐标：(2895.5059931506848, 9506.4355022831041)面积:3504
质心坐标：(2929.7288840262581, 9917.2667396061261)面积:4570
质心坐标：(2990.1689479060265, 2636.6465781409602)面积:4895
质心坐标：(2992.3113413304254, 8228.2622682660858)面积:3668
质心坐标：(2981.1519593179778, 14868.682919533354)面积:3343
质心坐标：(3042.10595703125, 14220.611572265625)面积:4096
质心坐标：(3181.924446583253, 3321.2872473532243)面积:20780
质心坐标：(3049.196705657675, 384.01766531391741)面积:4189
质心坐标：(3048.3996282527883, 3243.4501239157371)面积:3228
质心坐标：(3040.2836921262165, 209.70834562076084)面积:3391
质心坐标：(3052.0723172628304, 700.4866251944012)面积:6430
质心坐标：(3045.6329787234044, 3153.7363829787232)面积:4700
质心坐标：(3093.9511386566733, 7938.9687229749206)面积:6938
质心坐标：(3108.1998449311882, 2115.538476448924)面积:5159
质心坐标：(3082.4120689655174, 795.18017241379312)面积:3480
质心坐标：(3062.2616989567809, 5750.1558867362146)面积:3355
质心坐标：(3167.211747491639, 10516.79452341137)面积:9568
质心坐标：(3085.0129396151292, 2587.7209688122098)面积:3014
质心坐标：(3176.2916001277549, 7815.5305014372407)面积:3131
质心坐标：(3172.9132653061224, 1846.4171668667468)面积:6664
质心坐标：(3149.6909033179868, 13606.215589776155)面积:6299
质心坐标：(3210.5575791227097, 7526.8242087729041)面积:9005
质心坐标：(3155.2524850894633, 9736.1525134904859)面积:3521
质心坐标：(3172.8632062719653, 13936.629899972966)面积:3699
质心坐标：(3256.5708812260536, 344.58823989365862)面积:12789
质心坐标：(3263.6432767624019, 728.8792428198434)面积:6128
质心坐标：(3289.9150800846178, 10536.453309156845)面积:3309
质心坐标：(3270.8716969118113, 2771.3995542820758)面积:3141
质心坐标：(3278.1263505402162, 3508.4000600240097)面积:3332
质心坐标：(3315.7435629784272, 10392.502667594526)面积:8622
质心坐标：(3289.5960828839056, 8178.1947204087428)面积:3523
质心坐标：(3310.5398990842832, 4679.4862642496728)面积:5351
质心坐标：(3321.1687947679852, 186.31423232637809)面积:3211
质心坐标：(3547.1411882176735, 6394.096255616575)面积:20030
质心坐标：(3408.5504984260233, 3248.6196222455405)面积:7624
质心坐标：(3380.456791641057, 7722.2931776275354)面积:8135
质心坐标：(3367.8107350427349, 10118.639111111112)面积:14625
质心坐标：(3363.1965838035685, 729.36434344974839)面积:6557
质心坐标：(3362.0592941176469, 3482.3278431372551)面积:6375
质心坐标：(3368.970143884892, 8085.7620503597118)面积:5560
质心坐标：(3445.9864610454638, 10714.083637091928)面积:24965
质心坐标：(3385.0040516347876, 3617.8214453971545)面积:10613
质心坐标：(3433.409786591938, 6416.2323776676012)面积:4639
质心坐标：(3381.1504712382189, 2951.6116347091324)面积:3077
质心坐标：(3413.381891634981, 2665.9681558935363)面积:4208
质心坐标：(3433.9609337007619, 3029.0515480628951)面积:6169
质心坐标：(3531.726311549693, 3328.4200483335012)面积:19862
质心坐标：(3484.2053736874614, 9743.748147004324)面积:12952
质心坐标：(3454.7328498035658, 3844.059081293442)面积:6618
质心坐标：(3421.8910696761532, 9868.0363101079492)面积:3057
质心坐标：(3463.047514159849, 4820.2599118942735)面积:3178
质心坐标：(3436.4337129200057, 3519.8352312666948)面积:7113
质心坐标：(3485.8812598425197, 8913.474960629921)面积:3175
质心坐标：(3458.6929260450161, 3162.6665594855303)面积:3110
质心坐标：(3494.7481604557324, 8080.1856159506287)面积:4213
质心坐标：(3511.2855133614626, 3625.3651195499297)面积:3555
质心坐标：(3502.796587487454, 11614.742388758783)面积:5978
质心坐标：(3510.4280668707324, 3073.502236873087)面积:4247
质心坐标：(3516.7494258153424, 3887.3865411116217)面积:4354
质心坐标：(3568.8570029382959, 14231.206660137121)面积:3063
质心坐标：(3568.7034339229967, 8194.9255240077309)面积:6727
质心坐标：(3758.0137298684022, 3699.9731103615372)面积:21049
质心坐标：(3605.7936284844227, 8029.7945654720079)面积:4269
质心坐标：(3605.4671546546547, 2723.1745495495497)面积:5328
质心坐标：(3622.6708821714992, 3831.0370141887724)面积:3242
质心坐标：(3696.3600748596382, 5046.2228321896446)面积:8015
质心坐标：(3653.7003024470719, 8514.3005224085791)面积:3637
质心坐标：(3754.2573814494481, 13430.983596779004)面积:3353
质心坐标：(3739.9002983019732, 9794.9186553464897)面积:8716
质心坐标：(3683.3621420996819, 5641.9997348886536)面积:3772
质心坐标：(3713.8567510888852, 7454.5281497015649)面积:6199
质心坐标：(3760.4064881766658, 547.36896619112758)面积:5117
质心坐标：(3818.7635482894339, 10787.611413866181)面积:46242
质心坐标：(3811.7889546351084, 9553.0952380952385)面积:3549
质心坐标：(3836.4531283827669, 6499.9237930287945)面积:4619
质心坐标：(3820.369885889229, 5765.2861118842193)面积:3593
质心坐标：(3927.6674083230328, 13319.1478368356)面积:12135
质心坐标：(3933.8451872925557, 8958.4395448079667)面积:4218
质心坐标：(3922.1913762551685, 11572.932368576492)面积:3386
质心坐标：(3931.0382022471908, 12353.595224719102)面积:3560
